ITEM_ID,ITEM_START,COICOP2,COICOP3,COICOP4,COICOP5,Category1,Category2,ITEM_DESC,WEIGHT\SIZE,AVERAGE_PRICE
220107,199002,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Pub hot meal,,12.444
220116,200501,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Lemonade/Cola on tap,,2.573
220117,200501,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Bottled mineral water,,2.374
220121,200602,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Restaurant cup of coffee,,3.217
220122,200602,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Restaurant sweet course,,6.999
220123,200702,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,"Pubs, restaurants and cafes",Onboard catering,,
220124,200802,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Muffin/individual cake,,2.756
220125,200902,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Fruit juice,250-350ml,3.004
220128,201602,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Restaurant main course,,15.55
220208,200002,Restaurants and hotels,Catering services,Canteens,Canteens,Food and drink establishments,"Pubs, restaurants and cafes",Staff restaurant hot snack item,,
220209,200302,Restaurants and hotels,Catering services,Canteens,Canteens,Food and drink establishments,Schools,Primary school meal (fixed charges),,2.621
220210,200302,Restaurants and hotels,Catering services,Canteens,Canteens,Food and drink establishments,Schools,Secondary school (cafeteria),,2.781
220214,201402,Restaurants and hotels,Catering services,Canteens,Canteens,Food and drink establishments,"Pubs, restaurants and cafes",Staff restaurant main course,,
220301,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway fish and chips,,10.059
220303,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway cold sandwich,,2.901
220310,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,"Pubs, restaurants and cafes",Crisps (eating out),per pack,1.232
220316,200002,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway or delivery pizza,,10.981
220318,200202,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,"Indian takeaway, main-course",,10.107
220319,200202,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,"Chinese takeaway, main-course",,7.376
220320,200202,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway soft drink,,1.869
220323,200302,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway kebab,,7.368
220324,200501,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Recreation and culture,Other,Cinema popcorn,,6.326
220326,201202,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway chicken & chips,,7.332
220327,201802,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway cooked pastry,,1.864
220328,202002,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway or eat in burger,,4.81
220329,202402,Restaurants and hotels,Catering services,"Restaurants, cafes",Fast food and take away food services,Food and drink establishments,Fast food and take aways,Takeaway hot drink,,2.879
310102,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Draught bitter,per pint,3.785
310109,200302,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Draught lager (3.4-4.2%),per pint,4.409
310110,200302,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Draught premium lager (4.3-7.5%),per pint,5.364
310111,200402,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Bottled premium lager (4.3-7.5%),one bottle,4.488
310114,201702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Cider (4.5-5.5%),per pint,4.747
310301,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Whiskey,30ml,3.962
310302,198702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Vodka,30ml,4.296
310306,199702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Bottle of mixer,125-200ml,1.787
310307,199702,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Liqueur,30ml,3.838
310310,200302,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Wine,175-250ml,
310315,200602,Restaurants and hotels,Catering services,"Restaurants, cafes",Restaurants; cafes and dancing establishments,Food and drink establishments,Alcohol,Bottle of wine,75cl,23.577
