ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01
220107,,0,0,2,-0,-2,-0,-16,18,1,-0,1,-2,0,0,0,-0,0,-1,0,0,3,0,0,-3,0,1,3,1,1,1,2,-0,1,1,0,-10,3,0,1,1,1,0,1,0,0,1,0,-8,1,0,1,0,1,0,0,1,0,-0,0,-5,1
220116,,1,0,-0,0,0,1,-16,13,1,-0,2,0,0,0,0,-1,1,0,-0,0,2,0,1,-3,0,1,2,1,0,0,0,-0,0,1,1,-14,9,1,0,1,0,-0,1,1,1,0,0,-14,3,0,1,1,0,0,0,0,0,0,0,-8,4
220117,,1,0,-0,0,0,0,-18,14,2,-0,0,5,0,0,0,0,-1,0,0,0,2,0,1,-3,0,0,2,1,0,0,2,-0,0,2,0,-7,2,1,1,0,0,0,1,1,1,0,0,-7,1,0,1,0,0,0,0,0,0,0,0,-3,2
220121,,1,-0,-0,0,0,0,-16,16,1,-0,1,0,0,0,0,0,3,-0,-0,1,1,1,0,-7,1,1,2,0,1,-0,1,0,1,1,1,-7,1,0,1,0,1,0,1,0,2,0,0,-8,1,1,1,1,-0,0,0,0,1,0,0,-5,1
220122,,1,-0,2,-0,-2,-1,-14,15,0,-0,1,0,0,0,0,4,0,-1,-0,0,1,1,1,-7,-0,0,3,0,0,1,0,0,0,1,1,-8,1,1,2,1,-0,1,0,1,1,0,0,-7,1,1,1,0,-0,1,0,0,0,-0,0,-4,0
220123,,0,0,-0,0,0,2,0,0,-0,-0,0,-2,0,0,0,1,0,-0,0,0,2,0,0,-3,0,0,1,0,0,1,0,0,1,0,0,-1,0,0,1,0,0,3,0,0,1,0,0,-4,0,0,4,0,0,1,0,0,2,0,0,-5,0
220124,,1,-0,-0,2,-2,1,-13,11,1,-0,1,0,0,0,0,3,0,0,-0,1,1,1,0,-6,0,2,2,0,1,0,2,1,1,1,0,-10,1,1,1,2,-0,1,0,1,-0,2,1,-7,0,0,1,1,0,1,0,0,-0,0,0,-4,0
220125,,0,0,-0,0,0,1,-16,13,2,-0,1,2,0,0,0,0,-0,-0,0,0,2,0,1,-4,0,0,1,0,0,0,1,0,0,2,1,-5,2,1,1,1,1,-0,1,0,1,1,-0,-8,1,0,1,1,0,0,0,0,0,0,0,-4,1
220128,,1,-0,2,-0,-2,1,-14,14,0,-0,2,-1,0,0,0,4,-0,0,1,-1,1,1,1,-7,1,0,2,1,0,1,1,1,1,1,1,-9,0,1,2,1,1,1,1,0,1,0,0,-8,0,1,1,0,0,1,0,-0,1,0,0,-4,0
220208,,0,0,2,-0,0,0,-14,12,-2,-10,9,3,0,0,0,0,1,-3,-0,2,7,-0,-2,-5,-0,1,2,2,-0,-0,0,1,1,-2,-1,-3,0,2,1,-1,2,1,1,1,0,-0,-0,-6,1,0,1,-0,-0,-0,1,0,1,-1,0,-3,0
