ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01
220209,102.3429,100,100,98.2345,98.7177,99.0954,100.2293,100.2293,100.8353,100.8353,100.8352,100.8352,99.61521373,99.8033,100.0668,100.0649,100.5731,100.5729,100.5729,100.5729,101.3925,101.3924,101.3924,101.3924,100.6171074,100,100,100,100.5258,100.5258,100.5258,100.5258,101.6776,101.6776,101.6776,101.6776,101.1759719,100,100,100,101.2892,101.2892,101.2892,101.2892,73.0762,73.6796,73.681,73.681,100.407432,100,100,100,95.6372,95.6372,95.6372,95.6372,85.5603,85.5603,85.5603,85.5603,97.67146679
220210,102.318,100,100,98.2585,98.9993,99.3781,101.2084,101.2084,100.0375,100.0375,100.036,100.036,100.411052,99.8033,100.0668,100.0649,100.3228,100.326,100.326,100.326,101.1438,101.141,101.141,101.141,99.94295093,100,100,100,101.5068,101.5049,101.5049,101.5049,103.1422,103.1422,103.1422,103.1422,101.2635953,100,100,100,100.4692,100.4692,100.4692,100.4692,103.2143,103.2083,103.2083,103.2083,94.0877817,100,100,100,102.3146,102.3052,102.308,102.308,104.0552,104.0556,104.0556,104.0556,101.383395
220214,102.7155,100.3852,100.224,102.6683,102.5672,102.9597,103.4009,91.9172,98.7182,98.3803,89.247,96.1134,100,100.316,100.4058,100.5682,100.9532,103.8578,104.7761,105.8128,106.31,108.9077,108.8099,109.1017,101.7333369,99.6548,101.976,112.2609,109.2327,107.3995,105.9147,108.3487,116.1197,112.498,112.6251,122.1927,98.6726703,99.8852,97.7029,97.7769,98.6944,100.1272,98.9126,98.766,100.0838,99.3104,98.9991,99.1253,99.45594112,99.1809,100.0869,102.2164,102.6342,103.4083,102.3321,103.3918,105.2935,106.9425,105.5219,105.6535,100.5146067
220301,105.1566,100.2391,100.2975,99.6452,98.946,101.3209,102.8629,102.5617,102.9641,103.3354,103.7802,104.1324,100.1159101,100.3236,100.4005,100.666,100.8387,101.3754,101.4294,101.872,102.4679,103.7766,104.8457,106.2132,100.7003838,100.8465,102.1107,106.6414,109.8033,111.4036,112.9081,113.8672,114.8156,116.5718,117.0175,118.4883,100.5297569,101.0699,101.9663,103.1783,103.8851,105.3063,106.9123,107.3651,107.6834,108.5249,108.7859,109.1907,100.1652155,100.1191,100.62,101.42,101.7471,102.1915,102.3914,102.9511,103.3293,103.6517,103.68,103.8268,100.6609084
220303,103.8003,101.2477,101.7588,103.4227,103.3431,103.2432,102.921,102.121,102.2356,102.7511,104.3349,103.472,100.0485155,100.0357,100.6966,100.945,101.0093,100.2789,100.0064,99.5375,99.6004,100.3377,101.5342,102.2796,101.964028,100.4074,101.2057,102.1875,102.661,104.974,105.7348,106.234,106.5297,108.388,108.8257,109.2124,100.8556721,100.9063,101.9142,102.7532,103.578,103.7483,103.1841,104.6524,104.6389,105.4222,106.1293,106.5189,99.84575507,99.8262,99.9621,99.9217,100.0759,100.5693,101.2749,101.5943,101.1828,101.5996,101.7186,101.9825,99.37204913
220310,102.4346,100.0023,100.0744,99.6615,99.6857,99.7747,100.7493,87.257,100.1939,101.1206,100.9279,100.7803,99.83518604,100.0616,100.372,100.8721,101.9055,102.572,102.6094,102.7646,102.8504,103.006,103.196,103.293,100.5228815,100.1872,100.5834,101.4103,101.7783,102.1303,102.1702,102.158,102.32,103.6334,105.2512,106.4252,100.3372322,100.5737,101.4796,101.9763,102.1105,102.1425,102.3645,103.4723,104.8252,106.0657,106.5423,106.6741,100.3106659,100.0902,100.2452,101.2208,101.6844,101.9569,102.5922,102.8889,103.1347,103.1735,103.3433,103.2556,100.3193047
220316,100.9656,100.4325,100.451,107.7818,107.6998,107.2957,108.3689,102.2701,102.3525,102.8074,104.7329,105.0264,100.9484282,100.0706,100.347,100.37,100.6125,99.6521,99.799,99.7087,100.0536,100.363,100.2445,100.5958,99.57771597,99.791,99.5285,101.1305,102.5682,103.3942,105.158,105.3671,105.5776,107.9586,108.77,109.3811,100.6484667,100.507,102.287,104.775,104.4318,105.5319,106.3972,106.4301,106.4426,106.4196,108.8126,109.7339,96.70849209,100.2782,101.3205,102.3744,102.585,103.7405,103.6132,103.766,104.0243,104.0436,105.2089,105.6211,98.62527468
220318,103.1043,100.3062,100.2644,103.6471,102.9595,102.707,102.9341,100.316,101.7543,102.3222,102.6569,103.1216,100.794208,100.1358,99.9815,100.2934,99.3014,99.8441,100.2367,100.6326,101.0816,101.508,102.5942,102.7304,100.252895,100.2802,100.5451,101.5393,103.1223,104.5876,104.7904,105.4246,106.7372,107.0798,107.5767,109.1041,100.3960438,100.2628,100.7048,101.2576,102.0318,103.1089,103.1046,103.8117,104.2099,105.0529,105.6763,105.8139,100.0570813,100.5335,100.7187,100.8148,101.0663,101.5981,102.0987,102.4577,102.2878,102.7972,102.9342,103.3964,100.300494
220319,103.1874,100.5426,100.5806,102.1763,100.7372,102.0541,102.1565,101.7199,102.1061,101.8002,103.8767,103.9479,100.0726325,99.8548,100.0604,99.824,99.1465,99.8311,100.3291,100.7057,101.1864,101.8997,102.1463,102.9685,101.0704245,100.4014,100.9452,102.3152,103.2425,104.0127,105.2503,106.3844,106.6308,107.4986,108.7718,109.7396,100.300803,100.1998,100.7229,101.2675,101.6013,101.8258,102.0833,102.2782,102.8617,103.076,104.0319,104.3944,100.4909267,100.0374,100.18,100.7804,101.1668,101.6336,101.4333,101.7774,102.6003,102.8217,102.7645,102.9247,100.1810061
220320,104.2281,101.8403,102.0264,102.6222,102.1973,104.8666,104.1329,101.5694,101.2741,102.1978,102.408,102.6511,99.98899184,100.8171,100.816,99.2981,98.7389,99.1617,98.7004,99.0778,99.357,99.617,99.7592,101.5586,100.584884,102.5486,102.0841,102.9796,103.9312,104.7555,105.3061,105.4389,106.7506,109.1466,110.8423,110.3659,100.350833,100.4892,101.0326,101.1756,101.4623,104.4226,105.8263,107.4735,107.9788,108.0855,108.1434,108.2787,99.82923696,100.1031,100.3152,100.7025,100.9181,100.8125,100.9079,101.9496,102.752,103.1769,103.3163,103.4437,101.1203196
