ITEM_ID,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01,2025-01-01,2025-02-01
220107,,,,,,,,,,,,,-0,-0,-0,-2,-3,0,-1,18,0,1,2,1,-1,-0,1,3,4,5,7,9,8,7,8,8,-0,2,1,-0,0,-0,-1,-1,-1,-2,-2,-2,0,-1,-1,-1,-2,-2,-2,-3,-2,-2,-3,-3,0,-0
220116,,,,,,,,,,,,,-0,-1,-1,-0,-1,-0,-1,18,4,5,5,3,0,0,1,2,4,3,3,4,4,3,4,3,-8,-0,0,-2,-2,-2,-2,-2,-1,-1,-1,-2,-2,-7,-8,-7,-7,-7,-7,-7,-8,-8,-9,-9,-2,-1
220117,,,,,,,,,,,,,-0,-1,-1,0,1,-0,0,23,8,8,9,9,1,1,1,2,2,3,3,4,4,2,5,4,0,2,3,2,2,2,2,2,2,3,1,1,0,-1,-1,-1,-2,-2,-2,-2,-3,-3,-4,-3,1,1
220121,,,,,,,,,,,,,-0,-1,-0,1,1,4,4,23,6,6,8,7,-1,0,0,2,2,-0,-0,1,0,1,0,1,1,1,1,0,0,0,1,1,1,2,1,0,0,0,0,-0,0,-1,-1,-2,-2,-3,-3,-3,-0,-0
220122,,,,,,,,,,,,,-0,-1,-0,-2,1,4,4,21,6,7,9,8,-0,-0,-0,2,-1,-1,1,1,1,0,0,1,-0,1,1,0,1,0,-0,-0,0,1,0,-1,0,-0,-0,-1,-2,-2,-2,-2,-3,-3,-4,-4,-0,-0
220123,,,,,,,,,,,,,-0,-0,0,1,2,2,-0,-0,-0,2,2,2,1,1,0,0,-0,-1,1,1,1,-0,-0,-0,2,2,2,2,2,2,4,4,4,4,4,4,1,1,1,4,4,4,1,1,1,2,2,2,1,1
220124,,,,,,,,,,,,,-0,-1,-0,1,1,4,3,18,7,7,8,8,1,1,2,3,1,2,2,4,5,5,5,5,1,2,1,-1,1,-0,1,-1,-1,-3,-2,-2,1,0,0,1,-1,-0,-1,-1,-1,-1,-3,-3,1,0
220125,,,,,,,,,,,,,-0,-0,-0,1,1,1,0,19,6,6,6,6,0,0,0,1,1,1,1,2,2,1,2,2,0,2,3,3,3,4,3,3,4,4,3,3,0,-1,-2,-1,-2,-2,-2,-2,-3,-3,-4,-4,0,1
220128,,,,,,,,,,,,,-0,-1,0,-2,2,4,3,20,5,6,7,6,0,1,1,3,0,1,2,2,3,2,3,3,1,1,1,0,-0,0,0,0,-0,0,-0,-1,-0,-0,-1,-1,-2,-3,-3,-3,-3,-4,-4,-4,0,0
220208,,,,,,,,,,,,,0,0,0,-2,-2,-1,-4,11,0,9,21,9,-0,-0,0,3,4,3,5,6,5,-1,-3,-1,1,1,3,1,-2,0,2,2,1,1,2,3,0,1,-2,-2,-1,-3,-4,-3,-3,-3,-3,-3,0,-0
