ITEM_ID,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00
520130,100.0,100.482,100.42,100.804,101.093,101.5,101.875,101.861,101.807,101.712,101.094,100.83,99.67,99.718,100.362,100.416,100.793,102.806,103.06,103.637,104.737,104.998,104.971,105.024,105.383,106.746,106.579,106.163,105.219,106.279,109.345,113.13,113.755,114.311,111.268,115.727,113.675,112.164,112.291,112.849,119.165,120.381,119.15,119.537,121.126,120.863,121.732,121.511,121.178,122.768,124.637,125.018,128.171,127.997,129.095,133.457,133.586,134.653,133.334,134.61,132.339,133.443,134.901
520131,100.0,103.603,102.681,102.062,102.274,100.246,99.829,101.26,101.591,101.628,101.439,101.261,101.088,103.135,103.245,101.241,100.839,100.128,100.353,100.584,100.374,100.504,100.47,99.758,99.644,101.233,102.001,98.366,97.163,103.705,102.835,101.567,101.469,100.867,101.799,100.461,99.898,100.235,100.285,97.807,100.973,100.773,98.185,101.478,101.822,101.057,102.133,101.025,100.273,102.093,103.292,101.444,104.085,101.6,103.224,105.575,105.273,103.591,104.413,104.152,102.121,105.888,107.227
520137,100.0,99.554,99.474,98.922,99.629,102.165,101.758,103.084,101.64,100.046,100.604,98.938,101.165,101.468,99.307,101.595,101.802,101.606,100.775,101.967,102.233,100.764,100.614,100.475,100.314,101.207,100.128,105.703,106.207,101.317,102.461,105.88,104.742,102.487,104.226,103.55,107.104,107.694,105.876,105.4,104.448,105.622,104.62,106.57,106.406,106.003,107.457,108.857,103.81,106.51,109.58,107.059,107.878,106.457,106.477,114.398,113.339,110.172,112.028,113.827,112.285,115.353,114.759
520140,100.0,103.103,104.942,104.616,106.556,103.021,101.5,103.853,106.497,104.136,103.881,103.957,96.013,98.497,99.198,100.496,101.714,99.687,92.798,96.263,99.786,99.265,98.566,98.122,95.428,93.219,92.433,94.59,96.613,92.262,89.119,89.469,92.15,89.876,90.958,91.814,89.8,84.224,86.751,87.072,93.172,93.298,91.946,90.388,90.54,92.666,93.896,91.829,92.097,93.766,91.358,93.933,94.508,95.109,96.489,98.94,98.338,99.416,99.81,99.784,97.152,97.949,99.15
510439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,101.833,101.944
510434,,,,,,,,,,,,,100.0,95.64,94.461,84.503,86.675,88.362,86.921,80.481,78.874,80.992,84.337,86.898,84.831,78.437,80.835,85.602,91.108,88.098,89.079,91.548,92.904,96.425,94.777,95.515,87.01,80.856,84.703,86.273,87.223,88.229,87.56,86.781,90.4,86.164,86.933,91.408,91.178,84.23,88.098,88.131,91.211,92.751,91.561,93.302,98.984,98.636,98.031,99.202,89.816,83.446,87.471
520103,100.0,97.516,97.414,98.289,98.787,99.021,98.255,102.26,101.608,100.007,103.4,102.781,102.902,103.512,101.659,103.67,102.608,104.29,103.308,102.036,102.42,107.93,107.195,106.259,106.539,107.111,108.021,102.788,103.536,104.945,106.419,106.893,107.16,107.676,108.541,103.411,101.279,102.099,102.423,103.301,106.431,105.469,105.019,105.568,106.74,108.794,109.684,108.422,106.689,107.008,105.579,105.21,105.46,108.541,105.108,105.559,107.664,108.933,108.534,109.965,109.772,109.226,109.209
520109,100.0,99.729,102.145,98.756,101.038,97.952,91.487,103.611,105.071,107.016,108.228,102.561,101.704,104.639,105.305,104.844,104.65,103.585,99.571,103.031,107.392,103.403,107.189,105.778,104.397,101.289,98.796,95.405,97.22,95.253,89.059,97.579,98.981,98.68,91.262,98.54,95.849,94.633,95.7,95.352,99.458,98.117,97.942,98.029,97.498,98.782,97.47,97.795,97.69,97.254,98.856,103.498,102.638,103.769,99.557,100.697,102.907,103.174,103.323,101.413,97.847,99.7,100.912
510429,100.0,99.388,99.461,100.425,100.159,100.637,101.394,101.462,101.337,98.923,102.305,101.716,101.925,102.443,102.66,103.346,103.64,102.771,102.551,102.034,101.979,102.133,102.906,102.367,102.124,99.101,102.512,121.825,119.525,119.416,118.533,103.908,104.724,103.764,104.924,108.812,109.564,114.575,113.521,112.701,111.803,111.904,111.887,112.713,113.348,113.683,116.105,116.558,115.468,118.774,119.629,120.917,122.507,120.275,120.525,121.943,121.433,123.986,124.4,126.849,123.141,124.309,125.485
510432,100.0,98.472,97.055,96.586,95.759,93.671,90.164,93.798,99.052,98.537,100.438,99.146,91.009,92.474,93.667,92.448,94.073,92.33,86.55,84.544,90.805,96.139,96.922,95.364,88.268,86.972,84.449,82.861,81.885,81.347,79.768,77.874,85.316,92.438,89.519,89.286,81.702,79.42,80.823,81.903,82.694,84.106,79.624,80.941,83.044,85.601,90.672,89.989,85.614,82.665,85.045,87.563,88.536,90.556,82.413,86.191,91.752,94.807,96.489,95.481,94.438,93.705,93.651
